Config,DataFile,Strategy,StrategyLabel,RunID,Seed,K,N2Raw,Users,Candidates,InitialCost,FinalCost,ImprovementPct,Iterations,InitialCoverage,FinalCoverage,InitialSolution,FinalSolution,FinalGapPct,JaccardToBest
10_130,data/input_data_10_130_8_new.xlsx,random,Random,19,61,10,11,130,20,10846.181434676018,2576.2656667390575,76.24725639843575,10,0.7846153846153846,0.9384615384615385,0 4 5 6 10 11 12 15 17 18,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,20,62,10,11,130,20,7667.663561908024,2576.2656667390575,66.40090366591438,7,0.8461538461538461,0.9384615384615385,2 4 5 7 8 10 14 17 18 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,21,63,10,11,130,20,12545.31378040827,2576.2656667390575,79.464318614634,10,0.7461538461538462,0.9384615384615385,1 6 8 9 10 11 13 14 15 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,22,64,10,11,130,20,8606.456515914539,2576.2656667390575,70.06589573798249,9,0.823076923076923,0.9384615384615385,0 3 4 6 10 11 12 15 17 18,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,23,65,10,11,130,20,10266.341292123436,2576.2656667390575,74.90570794957279,10,0.7769230769230769,0.9384615384615385,7 8 9 12 13 14 15 16 18 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,24,66,10,11,130,20,8950.78733150426,2576.2656667390575,71.21744075326954,9,0.8,0.9384615384615385,1 2 4 7 8 9 12 13 14 15,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,25,67,10,11,130,20,11536.038587356012,2576.2656667390575,77.66767467679283,15,0.7769230769230769,0.9384615384615385,2 3 4 6 7 9 13 14 15 17,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,26,68,10,11,130,20,13854.279775172348,2576.2656667390575,81.40455001236606,10,0.7230769230769231,0.9384615384615385,3 4 5 7 10 11 13 14 16 18,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,27,69,10,11,130,20,10975.422614824878,2907.7372835342862,73.50683080206217,12,0.7769230769230769,0.9307692307692308,1 2 3 5 6 8 11 12 13 17,4 7 8 9 12 13 15 16 17 18,12.866360060404539,0.3333333333333333
10_130,data/input_data_10_130_8_new.xlsx,random,Random,28,70,10,11,130,20,13182.533053859668,2576.2656667390575,80.45697548253246,14,0.7384615384615385,0.9384615384615385,1 2 3 4 5 9 10 11 14 17,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,29,71,10,11,130,20,23177.08970194071,2576.2656667390575,88.88442984054491,12,0.6230769230769231,0.9384615384615385,0 1 3 4 8 10 12 13 15 16,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,30,72,10,11,130,20,7719.3315398721115,2576.2656667390575,66.62579326419579,8,0.8307692307692308,0.9384615384615385,2 5 9 10 11 14 15 16 17 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,31,73,10,11,130,20,12873.806642877287,2576.2656667390575,79.98831473700568,11,0.7307692307692307,0.9384615384615385,1 3 4 5 7 8 9 14 15 16,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,32,74,10,11,130,20,10586.205454312523,2576.2656667390575,75.66393664039877,14,0.7692307692307693,0.9384615384615385,2 3 4 5 10 12 15 16 17 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
