Config,Strategy,StrategyLabel,Runs,InitialMean,FinalMean,FinalStd,FinalMin,FinalMax,FinalCVPct,MeanGapPct,BestGapPct,MeanIterations,MeanImprovementPct,MeanFinalCoverage,MeanJaccardToBest
10_130,random,Random,50,10939.255899959262,2630.249039133976,119.11905608124367,2576.2656667390575,2963.794871430574,4.528812835170325,2.0954117074132625,0.0,10.34,74.20551196317325,0.9373846153846154,0.8865934065934066
10_130,density_topk,Density,1,12037.631860985715,2576.2656667390575,0.0,2576.2656667390575,2576.2656667390575,0.0,0.0,0.0,11.0,78.59823513054255,0.9384615384615385,1.0
10_130,distance_sum,DistSum,1,16395.272361444335,2576.2656667390575,0.0,2576.2656667390575,2576.2656667390575,0.0,0.0,0.0,14.0,84.2865332765225,0.9384615384615385,1.0
10_130,greedy_marginal,Greedy,1,2598.971692724219,2576.2656667390575,0.0,2576.2656667390575,2576.2656667390575,0.0,0.0,0.0,2.0,0.8736542244275535,0.9384615384615385,1.0
10_130,density_diverse,Diverse,1,8661.985488008466,2576.2656667390575,0.0,2576.2656667390575,2576.2656667390575,0.0,0.0,0.0,7.0,70.25779285470284,0.9384615384615385,1.0
10_150,random,Random,50,13835.627399363408,3711.8709084380625,95.06065925392589,3665.3642236796645,3923.9943554484084,2.5609904438709847,1.2688148276765174,0.0,11.18,71.59870947597221,0.9258666666666667,0.9076923076923076
10_150,density_topk,Density,1,17689.00208385691,3665.3642236796645,0.0,3665.3642236796645,3665.3642236796645,0.0,0.0,0.0,11.0,79.2788524400441,0.9266666666666666,1.0
10_150,distance_sum,DistSum,1,20733.929598793504,3665.3642236796645,0.0,3665.3642236796645,3665.3642236796645,0.0,0.0,0.0,13.0,82.32190282013424,0.9266666666666666,1.0
10_150,greedy_marginal,Greedy,1,4247.549799926624,4247.549799926624,0.0,4247.549799926624,4247.549799926624,0.0,15.883430423798432,15.883430423798432,0.0,0.0,0.9133333333333333,0.5384615384615384
10_150,density_diverse,Diverse,1,14693.88711633506,3665.3642236796645,0.0,3665.3642236796645,3665.3642236796645,0.0,0.0,0.0,11.0,75.05517638280402,0.9266666666666666,1.0
10_180,random,Random,50,16164.032010847239,4473.420840800754,262.96777684688874,4368.581048057939,5460.04769977405,5.878449316649063,2.3998591668436893,0.0,9.98,70.65269853195818,0.9252222222222224,0.8647619047619048
10_180,density_topk,Density,1,16525.886141613988,4368.581048057939,0.0,4368.581048057939,4368.581048057939,0.0,0.0,0.0,9.0,73.56522360965943,0.9277777777777778,1.0
10_180,distance_sum,DistSum,1,24679.822990481778,4368.581048057939,0.0,4368.581048057939,4368.581048057939,0.0,0.0,0.0,14.0,82.29897738835987,0.9277777777777778,1.0
10_180,greedy_marginal,Greedy,1,4368.581048057939,4368.581048057939,0.0,4368.581048057939,4368.581048057939,0.0,0.0,0.0,0.0,0.0,0.9277777777777778,1.0
10_180,density_diverse,Diverse,1,16525.886141613988,4368.581048057939,0.0,4368.581048057939,4368.581048057939,0.0,0.0,0.0,9.0,73.56522360965943,0.9277777777777778,1.0
5_130,random,Random,50,34083.82150756727,19326.355670754936,0.0,19326.355670754936,19326.355670754936,0.0,0.0,0.0,4.34,41.12524920648955,0.6230769230769231,1.0
5_130,density_topk,Density,1,25116.984113765287,19326.355670754936,0.0,19326.355670754936,19326.355670754936,0.0,0.0,0.0,3.0,23.054632740866428,0.6230769230769231,1.0
5_130,distance_sum,DistSum,1,32129.50812408478,19326.355670754936,0.0,19326.355670754936,19326.355670754936,0.0,0.0,0.0,5.0,39.848579081521635,0.6230769230769231,1.0
5_130,greedy_marginal,Greedy,1,19326.355670754936,19326.355670754936,0.0,19326.355670754936,19326.355670754936,0.0,0.0,0.0,0.0,0.0,0.6230769230769231,1.0
5_130,density_diverse,Diverse,1,24162.331150699618,19326.355670754936,0.0,19326.355670754936,19326.355670754936,0.0,0.0,0.0,1.0,20.014523639225335,0.6230769230769231,1.0
15_130,random,Random,50,5840.023679674724,335.92905275449715,5.742052420329235e-14,335.9290527544971,335.9290527544971,1.7093050967894784e-14,0.0,0.0,8.4,92.63135535663032,0.9923076923076922,1.0
15_130,density_topk,Density,1,8627.79591184773,335.9290527544971,0.0,335.9290527544971,335.9290527544971,0.0,0.0,0.0,13.0,96.10643255604602,0.9923076923076923,1.0
15_130,distance_sum,DistSum,1,14015.016625407105,335.9290527544971,0.0,335.9290527544971,335.9290527544971,0.0,0.0,0.0,20.0,97.60307774344336,0.9923076923076923,1.0
15_130,greedy_marginal,Greedy,1,335.9290527544971,335.9290527544971,0.0,335.9290527544971,335.9290527544971,0.0,0.0,0.0,0.0,0.0,0.9923076923076923,1.0
15_130,density_diverse,Diverse,1,8627.79591184773,335.9290527544971,0.0,335.9290527544971,335.9290527544971,0.0,0.0,0.0,13.0,96.10643255604602,0.9923076923076923,1.0
20_130,random,Random,50,3946.0471957291816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,100.0,1.0,1.0
20_130,density_topk,Density,1,8627.79591184773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,100.0,1.0,1.0
20_130,distance_sum,DistSum,1,15601.762205079802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,100.0,1.0,1.0
20_130,greedy_marginal,Greedy,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20_130,density_diverse,Diverse,1,8627.79591184773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,100.0,1.0,1.0
