Config,Method,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm,Variant,Seed,Protocol,DataFile,Stage1Solution,Stage1Cost,NormalizationLowerCost,NormalizationLowerDelay,NormalizationUpperCost,NormalizationUpperDelay,ArchivedBestQ,BestQAbsError
10_130,NS-P,0.8190858049530542,0.07845943299876014,0.011233036471563753,0.38940614172405186,0.38940614172405186,50,50,0.01156692475120008,0.09343455008250155,configured,42,reset_per_method,data/input_data_10_130_8_new.xlsx,8 2 1 10 17 4 6 7 12 15,2969.637839516181,1117.7023215525005,149.49444802737423,2728.2186560475393,386.0962458145186,0.3894,6.1417240518335525e-06
10_130,GCP,0.8596083232861803,0.04924774922905724,0.007909548101354831,0.35504076813212826,0.35504076813212826,50,50,0.031182067340341624,0.10041595867076009,configured,42,reset_per_method,data/input_data_10_130_8_new.xlsx,8 2 1 10 17 4 6 7 12 15,2969.637839516181,1117.7023215525005,149.49444802737423,2728.2186560475393,386.0962458145186,0.355,4.0768132128277124e-05
10_130,GDP,0.8945274818380959,0.03264358629038765,0.004473083981186269,0.3362910219633266,0.3362910219633266,50,50,0.06476404001480258,0.032001218964078086,configured,42,reset_per_method,data/input_data_10_130_8_new.xlsx,8 2 1 10 17 4 6 7 12 15,2969.637839516181,1117.7023215525005,149.49444802737423,2728.2186560475393,386.0962458145186,0.3363,8.978036673379375e-06
10_130,PSP,0.9470099455117535,0.0016107337817284288,0.01083021880625903,0.3281985745086926,0.3281985745086926,50,50,0.0,0.0,configured,42,reset_per_method,data/input_data_10_130_8_new.xlsx,8 2 1 10 17 4 6 7 12 15,2969.637839516181,1117.7023215525005,149.49444802737423,2728.2186560475393,386.0962458145186,0.3282,1.4254913073830089e-06
10_130,NS-P,0.9410670475563967,0.01271202940595784,0.008598726615286491,0.3154840827812636,0.3154840827812636,50,50,0.04637862899740936,0.009367073570393066,configured,43,reset_per_method,data/input_data_10_130_8_new.xlsx,19 7 0 1 2 8 4 6 10 17,2690.889857962698,1057.4725973368186,155.92967362755076,2770.920276188234,421.07859789021654,0.3894,0.07391591721873642
10_130,GCP,0.9290580757683746,0.016778467448445085,0.008534653955195544,0.31105353622143833,0.31105353622143833,50,50,0.06138006360702125,0.00875439403322645,configured,43,reset_per_method,data/input_data_10_130_8_new.xlsx,19 7 0 1 2 8 4 6 10 17,2690.889857962698,1057.4725973368186,155.92967362755076,2770.920276188234,421.07859789021654,0.355,0.04394646377856165
10_130,GDP,0.9402519498027563,0.014530038251869075,0.010612484086554096,0.3306631058037138,0.3306631058037138,50,50,0.0,0.0,configured,43,reset_per_method,data/input_data_10_130_8_new.xlsx,19 7 0 1 2 8 4 6 10 17,2690.889857962698,1057.4725973368186,155.92967362755076,2770.920276188234,421.07859789021654,0.3363,0.005636894196286213
10_130,PSP,0.8893596516658264,0.040262489896630026,0.0061473310585562786,0.33134422549681986,0.33134422549681986,50,50,0.1042859871312426,0.02352170385219379,configured,43,reset_per_method,data/input_data_10_130_8_new.xlsx,19 7 0 1 2 8 4 6 10 17,2690.889857962698,1057.4725973368186,155.92967362755076,2770.920276188234,421.07859789021654,0.3282,0.0031442254968198635
10_130,NS-P,0.8740108577956137,0.055751049000315606,0.008553708770860133,0.349053250653409,0.349053250653409,50,50,0.0,0.06840128908134874,configured,44,reset_per_method,data/input_data_10_130_8_new.xlsx,0 19 7 8 3 11 14 2 15 4,3287.3503159087886,1123.4487259568987,152.97148809092002,2524.7362595935156,450.2217001115966,0.3894,0.04034674934659105
10_130,GCP,0.9416662736131618,0.034548258172825454,0.0070546918579017385,0.2942279757877873,0.2942279757877873,50,50,0.028861325333915788,0.05406260336556375,configured,44,reset_per_method,data/input_data_10_130_8_new.xlsx,0 19 7 8 3 11 14 2 15 4,3287.3503159087886,1123.4487259568987,152.97148809092002,2524.7362595935156,450.2217001115966,0.355,0.06077202421221267
10_130,GDP,0.9191134859911996,0.027350793203852863,0.006885128936534538,0.3209939817453966,0.3209939817453966,50,50,0.0024128388752333303,0.05747846797904283,configured,44,reset_per_method,data/input_data_10_130_8_new.xlsx,0 19 7 8 3 11 14 2 15 4,3287.3503159087886,1123.4487259568987,152.97148809092002,2524.7362595935156,450.2217001115966,0.3363,0.01530601825460337
10_130,PSP,0.8910546496218253,0.05680038114969685,0.004645013613175675,0.3283717096744515,0.3283717096744515,50,50,0.12192461248753506,0.0,configured,44,reset_per_method,data/input_data_10_130_8_new.xlsx,0 19 7 8 3 11 14 2 15 4,3287.3503159087886,1123.4487259568987,152.97148809092002,2524.7362595935156,450.2217001115966,0.3282,0.00017170967445151453
