Config,Varpi,VarpiLabel,HV_mean,HV_std,IGD_mean,IGD_std,BestQ_mean,BestQ_std,BestCostNorm_mean,BestDelayNorm_mean,ParetoCount_mean,Runs,HV_rank,IGD_rank,BestQ_rank,MeanRank,ConfigBestByMeanRank
10_130,1,1,0.9341521961437841,0.017699498562342368,0.033136810446400954,0.007370644335105002,0.30782390118864633,0.005923086326007977,0.04664484891662701,0.04872348092240598,50.0,3,3.0,3.0,3.0,3.0,False
10_130,2,2,0.9338513407645693,0.05593718471241431,0.03618212541020029,0.029844656520353365,0.3105350364187128,0.013413967264338156,0.0761110884750258,0.01312678683551823,50.0,3,4.0,4.0,4.0,4.0,False
10_130,3,3,0.9488090255213746,0.02866035957451382,0.028168781915739072,0.015576747353753547,0.30119223697040176,0.009612287694424744,0.055913628058725406,0.03783204106706747,50.0,3,1.0,2.0,1.0,1.3333333333333333,True
10_130,4,Vj=4,0.9449140245802035,0.03591315394053985,0.02801408836427563,0.014784601616725986,0.3044971908791915,0.006907029324439698,0.046813390453548986,0.048003741697879306,50.0,3,2.0,1.0,2.0,1.6666666666666667,False
10_150,1,1,0.9149525864044782,0.040711117658837816,0.040392877056546476,0.020056836423766634,0.3083084876047893,0.01373191778369132,0.09039600950983288,0.023937132391962445,50.0,3,4.0,4.0,3.0,3.6666666666666665,False
10_150,2,2,0.9382285302812524,0.045061468356928876,0.03497130743473064,0.028464861853006007,0.309964935206892,0.0222747049722717,0.033528560913901086,0.038178406329532795,50.0,3,3.0,3.0,4.0,3.3333333333333335,False
10_150,3,3,0.9500509562200746,0.019632342804571774,0.02657079320176349,0.01328169989467663,0.30004457439268006,0.0059555805354180175,0.056124199444904654,0.028996407698339183,50.0,3,1.0,1.0,1.0,1.0,True
10_150,4,Vj=4,0.9461711749614844,0.028677391178546282,0.030734264453577142,0.011540620119291987,0.30574672210617115,0.005471746706295694,0.05844284908908346,0.022522609881302932,50.0,3,2.0,2.0,2.0,2.0,False
10_180,1,1,0.9803912998159093,0.02392719256848793,0.042962019258301586,0.02122037317725647,0.25602863228087963,0.0032576193874437826,0.059241883397334744,0.031912583185011424,50.0,3,4.0,4.0,3.0,3.6666666666666665,False
10_180,2,2,0.9940794731393935,0.01529788833858831,0.0357923792755756,0.012523449535068332,0.25774854087038745,0.0037167530677544324,0.03524904005366113,0.03290555978310878,50.0,3,3.0,3.0,4.0,3.3333333333333335,False
10_180,3,3,1.0065679399442853,0.018683663846247072,0.024227768265600955,0.009778131727136348,0.25212132526183256,0.0023435756107061684,0.041102951803424326,0.016751370391547827,50.0,3,1.0,1.0,2.0,1.3333333333333333,True
10_180,4,Vj=4,0.9978910713634477,0.0038235189774954797,0.027468759811845402,0.006616980316748282,0.2504292853649581,0.006165295118469651,0.047971814612274455,0.029275041162058826,50.0,3,2.0,2.0,1.0,1.6666666666666667,False
15_130,1,1,0.9606394070080531,0.044394375737690416,0.043863919775241116,0.024764683770857474,0.2727968557523211,0.019028976919084253,0.04242830423818025,0.050049338284969214,50.0,3,4.0,3.0,1.0,2.6666666666666665,False
15_130,2,2,0.9640757222139432,0.033046538164527406,0.05101280110684798,0.020318142662684745,0.2769069807581826,0.003768705209932452,0.07372008865028802,0.032107844685537255,50.0,3,3.0,4.0,3.0,3.3333333333333335,False
15_130,3,3,0.9771447015549821,0.0402164290066618,0.04276456117675914,0.02059683725499653,0.27716083154221477,0.017773477914614644,0.06178763255189646,0.014891099812476301,50.0,3,1.0,1.0,4.0,2.0,True
15_130,4,Vj=4,0.9756077149074857,0.020848382757914726,0.043717286395668464,0.00755116953341203,0.2761178758348603,0.006871753436921283,0.042997044256464084,0.044099398984957176,50.0,3,2.0,2.0,2.0,2.0,True
20_130,1,1,0.9514378844494659,0.015432731760463225,0.029352720817396608,0.005369410824296859,0.2864347345644842,0.010821487119967277,0.07719032302463695,0.02777968051703536,50.0,3,2.0,2.0,2.0,2.0,False
20_130,2,2,0.9640015854982075,0.030936976689897065,0.025683499285851785,0.014399014632986545,0.28516493049326597,0.012501774592277054,0.030787806989671998,0.032993422433026186,50.0,3,1.0,1.0,1.0,1.0,True
20_130,3,3,0.9401347888268011,0.029556479601063487,0.03413269229660603,0.016546550024213083,0.2889616051341963,0.009939303718262491,0.08277612278175815,0.027620847409508497,50.0,3,4.0,4.0,3.0,3.6666666666666665,False
20_130,4,Vj=4,0.943629812899962,0.017480606509631562,0.03281176780801403,0.010545466684727398,0.29069123217686843,0.00531107116230911,0.06743865344845444,0.03161975862570394,50.0,3,3.0,3.0,4.0,3.3333333333333335,False
5_130,1,1,1.02651968353463,0.01324151822223621,0.03763175378256675,0.0027455580888960723,0.2248852595070121,0.02158515755970857,0.02596761541986725,0.039845199237024356,50.0,3,3.0,2.0,2.0,2.3333333333333335,False
5_130,2,2,1.0362299325456097,0.06118433244245995,0.038914047625468705,0.023255386767236964,0.22036870863000105,0.026142862853233802,0.03618145987112852,0.021941891646831076,50.0,3,1.0,4.0,1.0,2.0,True
5_130,3,3,1.0241329485909718,0.04343948416885813,0.038901195416260186,0.02461236141372508,0.24716124738893366,0.03471002426503161,0.03487526835050663,0.006757310669137991,50.0,3,4.0,3.0,4.0,3.6666666666666665,False
5_130,4,Vj=4,1.030349539515007,0.03616527116446653,0.03593028657397907,0.017241100948925454,0.22796856451164857,0.0270604607068865,0.03305968088136884,0.016943435205330277,49.0,3,2.0,1.0,3.0,2.0,True
