Config,Variant,Seed,DataFile,MeanAbsoluteError,MaxAbsoluteError,PSPBestQ
10_130,configured,42,data/input_data_10_130_8_new.xlsx,1.4328346040218265e-05,4.0768132128277124e-05,0.3281985745086926
10_130,configured,44,data/input_data_10_130_8_new.xlsx,0.02914912537196465,0.06077202421221267,0.3283717096744515
10_130,configured,43,data/input_data_10_130_8_new.xlsx,0.031660875172601036,0.07391591721873642,0.33134422549681986
