DataFile,K,Users,Strategy,Runs,MeanFinalCost,StdFinalCost,BestObservedFinalCost,MeanGapPct,MinFinalCost,MaxFinalCost
input_data_10_100_8.xlsx,10,100,random,50,3078.288969111344,63.45602876461763,3045.1818909582717,1.0871954234121044,3045.1818909582717,3244.3905269815154
input_data_10_100_8.xlsx,10,100,density_topk,1,3045.1818909582717,0.0,3045.1818909582717,0.0,3045.1818909582717,3045.1818909582717
input_data_10_100_8.xlsx,10,100,distance_sum,1,3045.1818909582717,0.0,3045.1818909582717,0.0,3045.1818909582717,3045.1818909582717
input_data_10_100_8.xlsx,10,100,greedy_marginal,1,3244.3905269815154,0.0,3045.1818909582717,6.541764766654248,3244.3905269815154,3244.3905269815154
input_data_10_100_8.xlsx,10,100,density_diverse,1,3045.1818909582717,0.0,3045.1818909582717,0.0,3045.1818909582717,3045.1818909582717
input_data_10_130_8_new.xlsx,10,130,random,50,2630.249039133976,119.11905608124367,2576.2656667390575,2.0954117074132665,2576.2656667390575,2963.794871430574
input_data_10_130_8_new.xlsx,10,130,density_topk,1,2576.2656667390575,0.0,2576.2656667390575,0.0,2576.2656667390575,2576.2656667390575
input_data_10_130_8_new.xlsx,10,130,distance_sum,1,2576.2656667390575,0.0,2576.2656667390575,0.0,2576.2656667390575,2576.2656667390575
input_data_10_130_8_new.xlsx,10,130,greedy_marginal,1,2576.2656667390575,0.0,2576.2656667390575,0.0,2576.2656667390575,2576.2656667390575
input_data_10_130_8_new.xlsx,10,130,density_diverse,1,2576.2656667390575,0.0,2576.2656667390575,0.0,2576.2656667390575,2576.2656667390575
input_data_10_150_8.xlsx,10,150,random,50,3711.8709084380625,95.06065925392589,3665.3642236796645,1.268814827676522,3665.3642236796645,3923.9943554484084
input_data_10_150_8.xlsx,10,150,density_topk,1,3665.3642236796645,0.0,3665.3642236796645,0.0,3665.3642236796645,3665.3642236796645
input_data_10_150_8.xlsx,10,150,distance_sum,1,3665.3642236796645,0.0,3665.3642236796645,0.0,3665.3642236796645,3665.3642236796645
input_data_10_150_8.xlsx,10,150,greedy_marginal,1,4247.549799926624,0.0,3665.3642236796645,15.883430423798432,4247.549799926624,4247.549799926624
input_data_10_150_8.xlsx,10,150,density_diverse,1,3665.3642236796645,0.0,3665.3642236796645,0.0,3665.3642236796645,3665.3642236796645
input_data_10_150_8_new.xlsx,10,150,random,50,3711.8709084380625,95.06065925392589,3665.3642236796645,1.268814827676522,3665.3642236796645,3923.9943554484084
input_data_10_150_8_new.xlsx,10,150,density_topk,1,3665.3642236796645,0.0,3665.3642236796645,0.0,3665.3642236796645,3665.3642236796645
input_data_10_150_8_new.xlsx,10,150,distance_sum,1,3665.3642236796645,0.0,3665.3642236796645,0.0,3665.3642236796645,3665.3642236796645
input_data_10_150_8_new.xlsx,10,150,greedy_marginal,1,4247.549799926624,0.0,3665.3642236796645,15.883430423798432,4247.549799926624,4247.549799926624
input_data_10_150_8_new.xlsx,10,150,density_diverse,1,3665.3642236796645,0.0,3665.3642236796645,0.0,3665.3642236796645,3665.3642236796645
input_data_10_160_8.xlsx,10,160,random,50,4180.742215717401,295.79820640422,3997.9774969925384,4.57142940054933,3997.9774969925384,4820.129576093356
input_data_10_160_8.xlsx,10,160,density_topk,1,3997.9774969925384,0.0,3997.9774969925384,0.0,3997.9774969925384,3997.9774969925384
input_data_10_160_8.xlsx,10,160,distance_sum,1,3997.9774969925384,0.0,3997.9774969925384,0.0,3997.9774969925384,3997.9774969925384
input_data_10_160_8.xlsx,10,160,greedy_marginal,1,4549.258297799657,0.0,3997.9774969925384,13.788992089670776,4549.258297799657,4549.258297799657
input_data_10_160_8.xlsx,10,160,density_diverse,1,3997.9774969925384,0.0,3997.9774969925384,0.0,3997.9774969925384,3997.9774969925384
input_data_10_180_8.xlsx,10,180,random,50,4473.420840800754,262.96777684688874,4368.581048057939,2.3998591668436995,4368.581048057939,5460.04769977405
input_data_10_180_8.xlsx,10,180,density_topk,1,4368.581048057939,0.0,4368.581048057939,0.0,4368.581048057939,4368.581048057939
input_data_10_180_8.xlsx,10,180,distance_sum,1,4368.581048057939,0.0,4368.581048057939,0.0,4368.581048057939,4368.581048057939
input_data_10_180_8.xlsx,10,180,greedy_marginal,1,4368.581048057939,0.0,4368.581048057939,0.0,4368.581048057939,4368.581048057939
input_data_10_180_8.xlsx,10,180,density_diverse,1,4368.581048057939,0.0,4368.581048057939,0.0,4368.581048057939,4368.581048057939
input_data_10_180_8_new.xlsx,10,180,random,50,4473.420840800754,262.96777684688874,4368.581048057939,2.3998591668436995,4368.581048057939,5460.04769977405
input_data_10_180_8_new.xlsx,10,180,density_topk,1,4368.581048057939,0.0,4368.581048057939,0.0,4368.581048057939,4368.581048057939
input_data_10_180_8_new.xlsx,10,180,distance_sum,1,4368.581048057939,0.0,4368.581048057939,0.0,4368.581048057939,4368.581048057939
input_data_10_180_8_new.xlsx,10,180,greedy_marginal,1,4368.581048057939,0.0,4368.581048057939,0.0,4368.581048057939,4368.581048057939
input_data_10_180_8_new.xlsx,10,180,density_diverse,1,4368.581048057939,0.0,4368.581048057939,0.0,4368.581048057939,4368.581048057939
input_data_10_200_8.xlsx,10,200,random,50,5823.989866751812,542.2824248481566,5595.505047535166,4.083363651281016,5595.505047535166,7915.845131454872
input_data_10_200_8.xlsx,10,200,density_topk,1,5595.505047535166,0.0,5595.505047535166,0.0,5595.505047535166,5595.505047535166
input_data_10_200_8.xlsx,10,200,distance_sum,1,5595.505047535166,0.0,5595.505047535166,0.0,5595.505047535166,5595.505047535166
input_data_10_200_8.xlsx,10,200,greedy_marginal,1,5595.505047535166,0.0,5595.505047535166,0.0,5595.505047535166,5595.505047535166
input_data_10_200_8.xlsx,10,200,density_diverse,1,5595.505047535166,0.0,5595.505047535166,0.0,5595.505047535166,5595.505047535166
input_data_10_200_8_new.xlsx,10,200,random,50,5823.989866751812,542.2824248481566,5595.505047535166,4.083363651281016,5595.505047535166,7915.845131454872
input_data_10_200_8_new.xlsx,10,200,density_topk,1,5595.505047535166,0.0,5595.505047535166,0.0,5595.505047535166,5595.505047535166
input_data_10_200_8_new.xlsx,10,200,distance_sum,1,5595.505047535166,0.0,5595.505047535166,0.0,5595.505047535166,5595.505047535166
input_data_10_200_8_new.xlsx,10,200,greedy_marginal,1,5595.505047535166,0.0,5595.505047535166,0.0,5595.505047535166,5595.505047535166
