Config,Method,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm
20_130,NS-P,0.9817568857182699,0.0420786285201343,0.008889390943980814,0.28087637618406597,0.28087637618406597,50,50,0.0076544568686371965,0.04659983074555328
20_130,GCP,0.9625313479710949,0.06695108987170809,0.004044547911665391,0.2569078944627678,0.2569078944627678,50,50,0.1189066537796189,0.024349723956650214
20_130,GDP,1.0359485667025958,0.010222656423802948,0.009044295206603794,0.2406798595429047,0.2406798595429047,50,50,0.03684229054941839,0.0
20_130,PSP,1.0342955049216116,0.010001046539709731,0.007168414076853358,0.24880858103360481,0.24880858103360481,50,50,0.0,0.00271726156899754
20_130,DQN,0.2634008361515554,0.585954152534938,0.03896692234059684,0.5712781152365902,0.5712781152365902,3,5,0.7809852136842638,0.1741035554907872
