Capacity,CapacityLabel,Config,Varpi,VarpiLabel,VarpiRatio,IsHalfCapacity,HV_mean,HV_std,IGD_mean,IGD_std,BestQ_mean,BestQ_std,BestCostNorm_mean,BestDelayNorm_mean,ParetoCount_mean,Runs,HV_rank,IGD_rank,BestQ_rank,MeanRank,ConfigBestByMeanRank
4,Vj=4,10_130,1,1,0.25,False,0.9341521961437841,0.017699498562342368,0.033136810446400954,0.007370644335105002,0.30782390118864633,0.005923086326007977,0.04664484891662701,0.04872348092240598,50.0,3,3.0,3.0,3.0,3.0,False
4,Vj=4,10_130,2,Vj/2=2,0.5,True,0.9338513407645693,0.05593718471241431,0.03618212541020029,0.029844656520353365,0.3105350364187128,0.013413967264338156,0.0761110884750258,0.01312678683551823,50.0,3,4.0,4.0,4.0,4.0,False
4,Vj=4,10_130,3,3,0.75,False,0.9488090255213746,0.02866035957451382,0.028168781915739072,0.015576747353753547,0.30119223697040176,0.009612287694424744,0.055913628058725406,0.03783204106706747,50.0,3,1.0,2.0,1.0,1.3333333333333333,True
4,Vj=4,10_130,4,Vj=4,1.0,False,0.9449140245802035,0.03591315394053985,0.02801408836427563,0.014784601616725986,0.3044971908791915,0.006907029324439698,0.046813390453548986,0.048003741697879306,50.0,3,2.0,1.0,2.0,1.6666666666666667,False
4,Vj=4,10_150,1,1,0.25,False,0.9149525864044782,0.040711117658837816,0.040392877056546476,0.020056836423766634,0.3083084876047893,0.01373191778369132,0.09039600950983288,0.023937132391962445,50.0,3,4.0,4.0,3.0,3.6666666666666665,False
4,Vj=4,10_150,2,Vj/2=2,0.5,True,0.9382285302812524,0.045061468356928876,0.03497130743473064,0.028464861853006007,0.309964935206892,0.0222747049722717,0.033528560913901086,0.038178406329532795,50.0,3,3.0,3.0,4.0,3.3333333333333335,False
4,Vj=4,10_150,3,3,0.75,False,0.9500509562200746,0.019632342804571774,0.02657079320176349,0.01328169989467663,0.30004457439268006,0.0059555805354180175,0.056124199444904654,0.028996407698339183,50.0,3,1.0,1.0,1.0,1.0,True
4,Vj=4,10_150,4,Vj=4,1.0,False,0.9461711749614844,0.028677391178546282,0.030734264453577142,0.011540620119291987,0.30574672210617115,0.005471746706295694,0.05844284908908346,0.022522609881302932,50.0,3,2.0,2.0,2.0,2.0,False
4,Vj=4,10_180,1,1,0.25,False,0.9803912998159093,0.02392719256848793,0.042962019258301586,0.02122037317725647,0.25602863228087963,0.0032576193874437826,0.059241883397334744,0.031912583185011424,50.0,3,4.0,4.0,3.0,3.6666666666666665,False
4,Vj=4,10_180,2,Vj/2=2,0.5,True,0.9940794731393935,0.01529788833858831,0.0357923792755756,0.012523449535068332,0.25774854087038745,0.0037167530677544324,0.03524904005366113,0.03290555978310878,50.0,3,3.0,3.0,4.0,3.3333333333333335,False
4,Vj=4,10_180,3,3,0.75,False,1.0065679399442853,0.018683663846247072,0.024227768265600955,0.009778131727136348,0.25212132526183256,0.0023435756107061684,0.041102951803424326,0.016751370391547827,50.0,3,1.0,1.0,2.0,1.3333333333333333,True
4,Vj=4,10_180,4,Vj=4,1.0,False,0.9978910713634477,0.0038235189774954797,0.027468759811845402,0.006616980316748282,0.2504292853649581,0.006165295118469651,0.047971814612274455,0.029275041162058826,50.0,3,2.0,2.0,1.0,1.6666666666666667,False
4,Vj=4,15_130,1,1,0.25,False,0.9606394070080531,0.044394375737690416,0.043863919775241116,0.024764683770857474,0.2727968557523211,0.019028976919084253,0.04242830423818025,0.050049338284969214,50.0,3,4.0,3.0,1.0,2.6666666666666665,False
4,Vj=4,15_130,2,Vj/2=2,0.5,True,0.9640757222139432,0.033046538164527406,0.05101280110684798,0.020318142662684745,0.2769069807581826,0.003768705209932452,0.07372008865028802,0.032107844685537255,50.0,3,3.0,4.0,3.0,3.3333333333333335,False
4,Vj=4,15_130,3,3,0.75,False,0.9771447015549821,0.0402164290066618,0.04276456117675914,0.02059683725499653,0.27716083154221477,0.017773477914614644,0.06178763255189646,0.014891099812476301,50.0,3,1.0,1.0,4.0,2.0,True
4,Vj=4,15_130,4,Vj=4,1.0,False,0.9756077149074857,0.020848382757914726,0.043717286395668464,0.00755116953341203,0.2761178758348603,0.006871753436921283,0.042997044256464084,0.044099398984957176,50.0,3,2.0,2.0,2.0,2.0,True
4,Vj=4,20_130,1,1,0.25,False,0.9514378844494659,0.015432731760463225,0.029352720817396608,0.005369410824296859,0.2864347345644842,0.010821487119967277,0.07719032302463695,0.02777968051703536,50.0,3,2.0,2.0,2.0,2.0,False
4,Vj=4,20_130,2,Vj/2=2,0.5,True,0.9640015854982075,0.030936976689897065,0.025683499285851785,0.014399014632986545,0.28516493049326597,0.012501774592277054,0.030787806989671998,0.032993422433026186,50.0,3,1.0,1.0,1.0,1.0,True
4,Vj=4,20_130,3,3,0.75,False,0.9401347888268011,0.029556479601063487,0.03413269229660603,0.016546550024213083,0.2889616051341963,0.009939303718262491,0.08277612278175815,0.027620847409508497,50.0,3,4.0,4.0,3.0,3.6666666666666665,False
4,Vj=4,20_130,4,Vj=4,1.0,False,0.943629812899962,0.017480606509631562,0.03281176780801403,0.010545466684727398,0.29069123217686843,0.00531107116230911,0.06743865344845444,0.03161975862570394,50.0,3,3.0,3.0,4.0,3.3333333333333335,False
4,Vj=4,5_130,1,1,0.25,False,1.02651968353463,0.01324151822223621,0.03763175378256675,0.0027455580888960723,0.2248852595070121,0.02158515755970857,0.02596761541986725,0.039845199237024356,50.0,3,3.0,2.0,2.0,2.3333333333333335,False
4,Vj=4,5_130,2,Vj/2=2,0.5,True,1.0362299325456097,0.06118433244245995,0.038914047625468705,0.023255386767236964,0.22036870863000105,0.026142862853233802,0.03618145987112852,0.021941891646831076,50.0,3,1.0,4.0,1.0,2.0,True
4,Vj=4,5_130,3,3,0.75,False,1.0241329485909718,0.04343948416885813,0.038901195416260186,0.02461236141372508,0.24716124738893366,0.03471002426503161,0.03487526835050663,0.006757310669137991,50.0,3,4.0,3.0,4.0,3.6666666666666665,False
4,Vj=4,5_130,4,Vj=4,1.0,False,1.030349539515007,0.03616527116446653,0.03593028657397907,0.017241100948925454,0.22796856451164857,0.0270604607068865,0.03305968088136884,0.016943435205330277,49.0,3,2.0,1.0,3.0,2.0,True
8,Vj=8,10_130,1,1,0.125,False,0.9828663213719162,0.05333023010176053,0.03208686334356808,0.018909297411365246,0.25852827616970436,0.01894352445352018,0.04253882667483702,0.0,42.0,3,1.0,2.0,3.0,2.0,False
8,Vj=8,10_130,3,3,0.375,False,0.9744339463675254,0.06389076589615482,0.027077199079146103,0.020062583278510425,0.24101293634038967,0.00776249423703641,0.09740734890637216,0.0,39.333333333333336,3,2.0,1.0,1.0,1.3333333333333333,True
8,Vj=8,10_130,4,Vj/2=4,0.5,True,0.9205792230485068,0.03833974006566675,0.04865618929279534,0.009063836909991485,0.26526211323437177,0.017154017816397974,0.13612226684424558,0.0,39.333333333333336,3,4.0,4.0,4.0,4.0,False
8,Vj=8,10_130,8,Vj=8,1.0,False,0.9452804110588279,0.07350349687336327,0.03825952328101022,0.018788840687828906,0.2569528469318227,0.019869178080997384,0.11064468523458032,0.0,38.666666666666664,3,3.0,3.0,2.0,2.6666666666666665,False
8,Vj=8,10_150,1,1,0.125,False,0.8413895803994066,0.07497755979975755,0.05778859322917596,0.03606537937835553,0.3197035906674382,0.01117438366872307,0.1855437345060349,0.0,50.0,3,4.0,4.0,3.0,3.6666666666666665,False
8,Vj=8,10_150,3,3,0.375,False,0.9068632500104788,0.08732961991535204,0.0345169432638004,0.04027131452866738,0.3070407247749505,0.020886816271422557,0.11154409462556253,0.0,50.0,3,2.0,2.0,2.0,2.0,False
8,Vj=8,10_150,4,Vj/2=4,0.5,True,0.9405684173389979,0.06207436513419687,0.01954100503572539,0.020803560909285496,0.3018297500593645,0.01846024547729074,0.05696518432202382,0.0,50.0,3,1.0,1.0,1.0,1.0,True
8,Vj=8,10_150,8,Vj=8,1.0,False,0.8642313460085206,0.08252846360509974,0.049920210903599084,0.03379375685347115,0.3282916036965308,0.022168768505903942,0.1628800990519599,0.0,50.0,3,3.0,3.0,4.0,3.3333333333333335,False
8,Vj=8,10_180,1,1,0.125,False,0.9315548535621924,0.015162793254788505,0.02891300791037039,0.010355531685762455,0.288603694874331,0.01745742661416229,0.10076892254941432,0.0,46.333333333333336,3,2.0,2.0,2.0,2.0,False
8,Vj=8,10_180,3,3,0.375,False,0.8976128685990025,0.11480854533509927,0.037667280045878104,0.02984903490975222,0.2887792502284296,0.01948092244393017,0.16978242515318778,0.0,40.0,3,4.0,4.0,3.0,3.6666666666666665,False
8,Vj=8,10_180,4,Vj/2=4,0.5,True,0.9191346167725424,0.043166198330100686,0.033237717601326176,0.010089212180097042,0.291022635732549,0.01032452767202926,0.12627288615565815,0.0,39.666666666666664,3,3.0,3.0,4.0,3.3333333333333335,False
8,Vj=8,10_180,8,Vj=8,1.0,False,0.9726053850417532,0.026908972518474458,0.019799040362738444,0.013462014602161796,0.27912783430819804,0.019994831945606757,0.053095654625742957,0.0,44.0,3,1.0,1.0,1.0,1.0,True
8,Vj=8,15_130,1,1,0.125,False,0.8467966091016375,0.11435659368075858,0.11104629025893997,0.07248210409028805,0.3236604110283932,0.04377944062355642,0.1795855409517634,0.0,50.0,3,3.0,4.0,3.0,3.3333333333333335,False
8,Vj=8,15_130,3,3,0.375,False,0.8426132867985733,0.06165834610154389,0.110719168535294,0.03630412066569601,0.329386205799111,0.0299934327969295,0.1937450130721237,0.0,50.0,3,4.0,3.0,4.0,3.6666666666666665,False
8,Vj=8,15_130,4,Vj/2=4,0.5,True,0.866739079146044,0.034373606770765695,0.09428506397022918,0.0178039057465661,0.3109477204105298,0.003173970525913622,0.1843251529532384,0.0,50.0,3,2.0,2.0,2.0,2.0,False
8,Vj=8,15_130,8,Vj=8,1.0,False,0.9523985837048231,0.060518217024679154,0.05453442762565203,0.048470246594005104,0.2570298460253661,0.015443922586509583,0.11840100572429434,0.0,50.0,3,1.0,1.0,1.0,1.0,True
8,Vj=8,20_130,1,1,0.125,False,0.8892881119367079,0.1299241866288482,0.0848433147577331,0.09928341523886369,0.30463044261385797,0.03548133521558551,0.15300498197073123,0.0,50.0,3,1.0,1.0,1.0,1.0,True
8,Vj=8,20_130,3,3,0.375,False,0.8892881119367079,0.1299241866288482,0.0848433147577331,0.09928341523886369,0.30463044261385797,0.03548133521558551,0.15300498197073123,0.0,50.0,3,1.0,1.0,1.0,1.0,True
8,Vj=8,20_130,4,Vj/2=4,0.5,True,0.8892881119367079,0.1299241866288482,0.0848433147577331,0.09928341523886369,0.30463044261385797,0.03548133521558551,0.15300498197073123,0.0,50.0,3,1.0,1.0,1.0,1.0,True
8,Vj=8,20_130,8,Vj=8,1.0,False,0.8892881119367079,0.1299241866288482,0.0848433147577331,0.09928341523886369,0.30463044261385797,0.03548133521558551,0.15300498197073123,0.0,50.0,3,1.0,1.0,1.0,1.0,True
8,Vj=8,5_130,1,1,0.125,False,0.9129019027712486,0.0,0.0,0.0,0.2780038950271619,0.0,0.0,0.0,27.0,3,1.0,1.0,1.0,1.0,True
8,Vj=8,5_130,3,3,0.375,False,0.9111993243292137,0.0029489523654759983,0.007898321854751157,0.013680294746960656,0.2780038950271619,0.0,0.01462422760550152,0.0,26.0,3,3.0,3.0,1.0,2.3333333333333335,False
8,Vj=8,5_130,4,Vj/2=4,0.5,True,0.9111993243292137,0.0029489523654759983,0.007898321854751157,0.013680294746960656,0.2780038950271619,0.0,0.01462422760550152,0.0,26.0,3,3.0,3.0,1.0,2.3333333333333335,False
8,Vj=8,5_130,8,Vj=8,1.0,False,0.9129019027712486,0.0,0.0,0.0,0.2780038950271619,0.0,0.0,0.0,27.0,3,1.0,1.0,1.0,1.0,True
