Config,Method,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm
10_180,NS-P,0.937662106317738,0.05328497007428488,0.005576513338108967,0.28205266610301766,0.28205266610301766,50,50,0.08832309794269473,0.038590229657974734
10_180,GCP,0.982146112176693,0.04293842085458425,0.006513399398138037,0.27065663988725563,0.27065663988725563,50,50,0.0011720319937058583,0.0748977774713518
10_180,GDP,1.0144925518797256,0.016477679895377795,0.0053648069470105045,0.2504309656116734,0.2504309656116734,50,50,0.046355760309607974,0.0
10_180,PSP,1.0129135520922354,0.01588625080309324,0.007824445272420467,0.2573646079619544,0.2573646079619544,50,50,0.0,0.026752994095743554
10_180,DQN,0.4372587583634197,0.3624363543335869,0.020991387158992736,0.4587678341338973,0.4587678341338973,4,5,0.544347900303325,0.2555513586983133
