Config,Method,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm
10_150,NS-P,0.9079962880269687,0.07277071074134563,0.008009883959542387,0.2979914791950472,0.2979914791950472,50,50,0.07934060140505311,0.06671072270483407
10_150,GCP,1.0016863823703728,0.016196550027153256,0.007385226693380586,0.2755865933976346,0.2755865933976346,50,50,0.0,0.006391049459913679
10_150,GDP,1.0061933112458425,0.018175964273339326,0.006854671396917794,0.2735859188718772,0.2735859188718772,50,50,0.023538490956633254,0.0
10_150,PSP,1.0144867220289937,0.01605662978185771,0.005350718490563345,0.26766326109328575,0.26766326109328575,50,50,0.012190832321700928,0.02546526584025734
10_150,DQN,0.48690321591512076,0.3204014417142464,0.02863232885467427,0.4971969240136871,0.4971969240136871,4,5,0.41771586997884097,0.2444489546987364
