Config,Method,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm
10_130,NS-P,0.8313320455316456,0.0771609472579576,0.01106219628949759,0.38079844592273715,0.38079844592273715,50,50,0.011075312283917874,0.09343455008250155
10_130,GCP,0.8698059002848453,0.048132245351028835,0.00763933705929001,0.3460106877058775,0.3460106877058775,50,50,0.02985678050828587,0.10041595867076009
10_130,GDP,0.9064394470271963,0.03175369102684482,0.004318919542992977,0.3263379571657256,0.3263379571657256,50,50,0.062011466605043246,0.032001218964078086
10_130,PSP,0.9581874358420364,0.001592270780686548,0.010684705246129852,0.31846554918811426,0.31846554918811426,50,50,0.0,0.0
10_130,DQN,0.33819081684044094,0.4048305563171643,0.009723489810460728,0.5973779158170724,0.5973779158170724,4,5,0.3927574576977676,0.43389371206370997
