Config,Scenario,DataFile,Users,Candidates,TargetServers,ResolvedK,SigmaMin,N2Adjust,N2Raw,CLSCost,RandomMeanCost,RandomBestCost,DensityCost,DistSumCost,GreedyCost,DiverseInitCost,BestBaselineCost,CLSAdvantagePct,SelectedSolution
real_review6_large_c40_u130_k10_sparse_r00_c40_u130_k10_s0,Sparse,data\real_region\input_data_real_review6_large_c40_u130_k10_sparse_r00_c40_u130_k10_s0_8.xlsx,130,40,10,10,34,1,9,23479.462593004788,56037.05911360542,32001.18122405507,96363.29922074698,88311.39554705836,88289.46489516788,96359.68333939316,32001.18122405507,26.62938774473914,1 2 3 4 6 11 27 28 32 34
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,Clustered,data\real_region\input_data_real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0_8.xlsx,130,40,10,10,53,-1,11,7859.988270256739,30051.7370693536,12058.548980696543,67488.08238000606,60671.5263880448,61963.594632135,67408.63198425216,12058.548980696543,34.81812544080474,1 2 3 5 6 10 11 21 32 36
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,Skewed,data\real_region\input_data_real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0_8.xlsx,130,40,10,10,62,2,8,4924.367080066736,21848.494929271863,10162.434831336665,50534.86208672899,52278.74200669049,51615.17907970359,50534.86208672898,10162.434831336665,51.54343263405672,1 2 3 5 6 13 18 34 36 39
