Config,Varpi,VarpiLabel,Seed,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm,RawBestCost,RawBestDelay,NpzPath
5_130,2,2,42,1.0727782855655175,0.03560294845543425,0.007865664582837864,0.2094602716236123,0.2094602716236123,50,50,0.006485464122274803,0.01339646581993518,1078.0753489180793,333.85657243977295,output/npz/res_hybrid_anchor_varpi2_5_130_seed42.npz
5_130,2,2,43,1.0703168671304235,0.017491675284791924,0.02891891897470493,0.20144663168615862,0.20144663168615862,50,50,0.013971396918237702,0.017572736989586935,1084.707524609125,335.4118135079863,output/npz/res_hybrid_anchor_varpi2_5_130_seed43.npz
5_130,2,2,44,0.9655946449408881,0.06364751913617993,0.02651951741283199,0.25019922258023225,0.25019922258023225,50,50,0.08808751857287306,0.03485647213097111,1150.3708365503626,341.84826689236866,output/npz/res_hybrid_anchor_varpi2_5_130_seed44.npz
5_130,3,3,42,1.0696869633750468,0.013108824174495362,0.029851397256884793,0.20868728283398014,0.20868728283398014,50,50,0.02265954367270429,0.005408458881755577,1092.4048039296506,330.8818430846228,output/npz/res_hybrid_anchor_varpi3_5_130_seed42.npz
5_130,3,3,43,1.0195386964259532,0.04146135067461656,0.020305568812867235,0.256671908519789,0.256671908519789,50,50,0.026965762045465483,0.0,1096.2199058802803,328.8677359955587,output/npz/res_hybrid_anchor_varpi3_5_130_seed43.npz
5_130,3,3,44,0.9831731859719154,0.062133411399668645,0.035603180861421675,0.27612455081303194,0.27612455081303194,50,50,0.05500049933335012,0.014863473125658397,1121.0573320519165,334.4028851471013,output/npz/res_hybrid_anchor_varpi3_5_130_seed44.npz
5_130,4,Vj=4,42,1.000870653651613,0.054259604999294685,0.016780997920098007,0.2589343903288907,0.2589343903288907,50,50,0.04858124608354671,0.01718392001489705,1115.3701830327627,335.2670182821757,output/npz/res_hybrid_anchor_varpi4_5_130_seed42.npz
5_130,4,Vj=4,43,1.0194731025166854,0.03349486405492757,0.014608223477777571,0.2161059771769382,0.2161059771769382,50,50,0.042274366021997245,0.028382978702500478,1109.7825912428516,339.43754152857326,output/npz/res_hybrid_anchor_varpi4_5_130_seed43.npz
5_130,4,Vj=4,44,1.0707048623767226,0.02003639066771497,0.018183004070521445,0.20886532602911673,0.20886532602911673,47,47,0.008323430538562566,0.0052634068985933,1079.703698586625,330.8278258065114,output/npz/res_hybrid_anchor_varpi4_5_130_seed44.npz
15_130,1,1,42,1.0071721280333452,0.016754461678394714,0.007811807546893141,0.2545677152364553,0.2545677152364553,50,50,0.0,0.013924993041031591,1103.7580890255406,114.10915617209054,output/npz/res_hybrid_anchor_varpi1_15_130_seed42.npz
15_130,1,1,43,0.9559980297873722,0.04953845063186302,0.009742069282846003,0.27128712416840783,0.27128712416840783,50,50,0.03762199845681823,0.06414807886474047,1196.4876431462878,131.34872286076956,output/npz/res_hybrid_anchor_varpi1_15_130_seed43.npz
15_130,1,1,44,0.9187480632034417,0.06529884701546561,0.006249367397116656,0.29253572785210025,0.29253572785210025,50,50,0.08966291425772253,0.07207494294913559,1324.7565048813199,134.0696966873223,output/npz/res_hybrid_anchor_varpi1_15_130_seed44.npz
15_130,2,2,42,0.9875971967434007,0.041280135220521194,0.005606460244660555,0.27257582432001615,0.27257582432001615,50,50,0.05897221835529031,0.010655509303974206,1249.1110138541887,112.98687381930161,output/npz/res_hybrid_anchor_varpi2_15_130_seed42.npz
15_130,2,2,43,0.978336684771279,0.037391750992367495,0.0065024491495226005,0.2794385533631092,0.2794385533631092,50,50,0.030885284025839333,0.042938941136208955,1179.8831949232492,124.06847836197791,output/npz/res_hybrid_anchor_varpi2_15_130_seed43.npz
15_130,2,2,44,0.92629328512715,0.07436651710765525,0.0058692938947260955,0.2787065645914225,0.2787065645914225,50,50,0.13130276356973444,0.04272908361642859,1427.38913522364,123.99644271048342,output/npz/res_hybrid_anchor_varpi2_15_130_seed44.npz
15_130,3,3,42,0.9729898699223853,0.04311186409626347,0.007925541639915322,0.2853321588650521,0.2853321588650521,50,50,0.05797119851644448,0.0,1246.6437306919522,109.32926576446191,output/npz/res_hybrid_anchor_varpi3_15_130_seed42.npz
15_130,3,3,43,1.0192772567746886,0.02199626865627492,0.007099206594747772,0.25677122435419547,0.25677122435419547,50,50,0.022290076097075194,0.0028566386298723577,1158.6979886210315,110.3098349859153,output/npz/res_hybrid_anchor_varpi3_15_130_seed43.npz
15_130,3,3,44,0.9391669779678726,0.06318555077773903,0.006264440364974289,0.2893791114073968,0.2893791114073968,50,50,0.10510162304216972,0.04181666080755655,1362.80936332862,123.68324463426335,output/npz/res_hybrid_anchor_varpi3_15_130_seed44.npz
