Config,RandomMeanGapPct,RandomCVPct,BestDeterministicInit,BestObservedGapPct,WorstGapPct,GreedyGapPct
10_130,2.0954117074132625,4.528812835170325,Density,0.0,2.0954117074132625,0.0
10_150,1.2688148276765174,2.5609904438709847,Density,0.0,15.883430423798432,15.883430423798432
10_180,2.3998591668436893,5.878449316649063,Density,0.0,2.3998591668436893,0.0
5_130,0.0,0.0,Density,0.0,0.0,0.0
15_130,0.0,1.7093050967894784e-14,Density,0.0,0.0,0.0
20_130,0.0,0.0,Density,0.0,0.0,0.0
