Config,Method,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount_x,SolutionCount,BestCostNorm,BestDelayNorm,RuntimeSec,RawSolutionCount,ParetoCount_y,SelectedServers,Stage1Cost
joint_gap_c6_u30_k3_s4_seed44,Joint-Exact,0.9994496711619514,0.0,0.05327627236349557,0.21385534591122027,0.21385534591122027,13,13,0.0,0.0,38.7277972,26620,13,,
joint_gap_c6_u30_k3_s4_seed44,MOS2-PSP,0.989618936686021,0.06597909062207402,0.069046498275477,0.21385534591122027,0.21385534591122027,8,8,0.0,0.06753620289422643,7.173796500000002,8,8,0 1 2,5847.796056998639
