Seed,Method,BestQ
42,NS-P,0.2343728546376079
42,GCP,0.2420890074343047
42,GDP,0.2385479433660541
42,PSP,0.2273324743696142
43,NS-P,0.350866740281044
43,GCP,0.3292798989518716
43,GDP,0.3138688954712452
43,PSP,0.3241195727553839
44,NS-P,0.3005755381403313
44,GCP,0.2686829660839593
44,GDP,0.2674209257539141
44,PSP,0.2520656214859217
42,DQN,0.4388107108038428
43,DQN,0.6377117993691129
44,DQN,0.5784540307874697
