Config,Method,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm,Variant,Seed,Protocol,DataFile,Stage1Solution,Stage1Cost,NormalizationLowerCost,NormalizationLowerDelay,NormalizationUpperCost,NormalizationUpperDelay,ArchivedBestQ,BestQAbsError
10_150,NS-P,0.9981444293810113,0.014654179877306167,0.007911221213070427,0.2706685344182753,0.2706685344182753,50,50,0.009963947992019459,0.024140533610631412,configured,44,submitted,data/input_data_10_150_8_new.xlsx,6 0 19 7 8 4 2 10 13 11,3858.7525855065214,1136.8854638282714,182.89656522836935,2835.1872758594764,599.2792674918531,0.3023,0.031631465581724694
10_150,GCP,1.0192074172370875,0.0042658424160444755,0.0083149874354315,0.26658636484004766,0.26658636484004766,50,50,0.0,0.0,configured,44,submitted,data/input_data_10_150_8_new.xlsx,6 0 19 7 8 4 2 10 13 11,3858.7525855065214,1136.8854638282714,182.89656522836935,2835.1872758594764,599.2792674918531,0.2868,0.020213635159952337
10_150,GDP,0.9579517181458906,0.04490621778748649,0.00908006804047476,0.3038979675703731,0.3038979675703731,50,50,0.002194135938514037,0.003344720503506539,configured,44,submitted,data/input_data_10_150_8_new.xlsx,6 0 19 7 8 4 2 10 13 11,3858.7525855065214,1136.8854638282714,182.89656522836935,2835.1872758594764,599.2792674918531,0.2847,0.019197967570373065
10_150,PSP,0.9775510894272141,0.014556118412166068,0.005588575828600384,0.2665515382424233,0.2665515382424233,50,50,0.05936512008740091,0.01519784389851687,configured,44,submitted,data/input_data_10_150_8_new.xlsx,6 0 19 7 8 4 2 10 13 11,3858.7525855065214,1136.8854638282714,182.89656522836935,2835.1872758594764,599.2792674918531,0.2749,0.008348461757576697
