Config,Method,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm
,NS-P,0.8823582254650661,0.045788496261121865,0.00609085368574058,0.350866740281044,0.350866740281044,50,50,0.04775881238430836,0.052262567777022415
,GCP,0.9097236571354216,0.05336798984940642,0.006181869718851704,0.32927989895187165,0.32927989895187165,50,50,0.0764617226781475,0.0388190816950246
,GDP,0.9208499087892568,0.01755951902180945,0.0049602025884701315,0.3138688954712452,0.3138688954712452,50,50,0.03624408587935369,0.04653535588836399
,PSP,0.9448206115017544,0.009579559775970978,0.009777010511097438,0.3241195727553839,0.3241195727553839,50,50,0.0,0.0
