Config,Weight,Seed,BestEpisode,Cost,Delay,ScalarQReferenceBounds,EvaluationAlpha,EvaluationBestQ,ReferenceLowerCost,ReferenceLowerDelay,ReferenceUpperCost,ReferenceUpperDelay
real_sparse_r04_c40_u130_k10_s1,0.1,42,188,2853.2102940678556,212.65366191159012,0.3229661246468204,0.5,0.6945115237619888,949.9403871819727,139.24860153286585,2592.1863467483636,458.2903791981507
real_sparse_r04_c40_u130_k10_s1,0.3,42,225,2968.3646170843026,177.7578114599395,0.45321089148860855,0.5,0.6748830067144627,949.9403871819727,139.24860153286585,2592.1863467483636,458.2903791981507
real_sparse_r04_c40_u130_k10_s1,0.5,42,26,2442.116254481157,200.15803289319888,0.5497663223641392,0.5,0.5497663223641392,949.9403871819727,139.24860153286585,2592.1863467483636,458.2903791981507
real_sparse_r04_c40_u130_k10_s1,0.7,42,34,1927.3145283802787,323.842424074887,0.5901778329669638,0.5,0.5868665224067133,949.9403871819727,139.24860153286585,2592.1863467483636,458.2903791981507
real_sparse_r04_c40_u130_k10_s1,0.9,42,70,1984.6547781086474,218.2308624004245,0.5918105813847565,0.5,0.4388107108038428,949.9403871819727,139.24860153286585,2592.1863467483636,458.2903791981507
real_sparse_r04_c40_u130_k10_s1,0.1,43,27,2456.7524160943026,214.79098743271686,0.48351156544140156,0.5,0.6972522843593995,972.9643065688263,131.30248242579103,2511.480222704041,325.4273118295909
real_sparse_r04_c40_u130_k10_s1,0.3,43,27,2145.1413088165764,234.7378234402619,0.6015467448967197,0.5,0.6473585669701263,972.9643065688263,131.30248242579103,2511.480222704041,325.4273118295909
real_sparse_r04_c40_u130_k10_s1,0.5,43,27,2115.1869002496032,234.77201701503213,0.6377117993691129,0.5,0.6377117993691129,972.9643065688263,131.30248242579103,2511.480222704041,325.4273118295909
real_sparse_r04_c40_u130_k10_s1,0.7,43,307,1548.293249610328,339.6840737674919,0.5837977792014016,0.5,0.7236959016618485,972.9643065688263,131.30248242579103,2511.480222704041,325.4273118295909
real_sparse_r04_c40_u130_k10_s1,0.9,43,265,1221.3230409462055,376.8954134662699,0.27179761401557956,0.5,0.7132781836276834,972.9643065688263,131.30248242579103,2511.480222704041,325.4273118295909
real_sparse_r04_c40_u130_k10_s1,0.1,44,20,2911.350834168671,175.6901455916151,0.25866952313152664,0.5,0.6320079196714027,965.8877245399813,135.84956995450497,2736.6139494654226,376.81847521701104
real_sparse_r04_c40_u130_k10_s1,0.3,44,20,2969.850685803412,175.6901455916151,0.455249883976109,0.5,0.6485265239624766,965.8877245399813,135.84956995450497,2736.6139494654226,376.81847521701104
real_sparse_r04_c40_u130_k10_s1,0.5,44,1,2300.8530864666527,232.95995901420062,0.5784540307874697,0.5,0.5784540307874697,965.8877245399813,135.84956995450497,2736.6139494654226,376.81847521701104
real_sparse_r04_c40_u130_k10_s1,0.7,44,96,1751.6359746958094,311.4654057687024,0.529257582683027,0.5,0.5862669720549041,965.8877245399813,135.84956995450497,2736.6139494654226,376.81847521701104
real_sparse_r04_c40_u130_k10_s1,0.9,44,250,1739.27385697304,317.5425342635182,0.46848690420706907,0.5,0.5953860579887824,965.8877245399813,135.84956995450497,2736.6139494654226,376.81847521701104
