Method,Seeds,BestQMean,BestQStd
NS-P,3,0.29527171101966104,0.058427769807437954
GCP,3,0.2800172908233785,0.04468683339509512
GDP,3,0.2732792548637378,0.038000677250246195
PSP,3,0.2678392228703066,0.05028459484732145
DQN,3,0.5516588469868084,0.10212197199572563
